"","point","time","KS-03-1/100_1","KS-03-1/100_2","KS-08-KS-03_1","KS-08-KS-03_2","NC_1","NC_2","elapsed_h","time_lbl"
"1",0,"17:54:45",0.264,0.197,0.109,0.359,0.151,0.046,0,"Day 0
00:00"
"2",1,"18:24:43",0.264,0.099,0.184,0.295,0.17,0.082,0.499444444444444,"Day 0
00:29"
"3",2,"18:54:41",0.221,0.178,0.23,0.483,0.228,0.075,0.998888888888889,"Day 0
00:59"
"4",3,"19:24:41",0.189,0.19,0.3,0.274,0.184,0.081,1.49888888888889,"Day 0
01:29"
"5",4,"19:54:46",0.182,0.133,0.243,0.274,0.179,0.07,2.00027777777778,"Day 0
02:00"
"6",5,"20:24:40",0.22,0.137,0.332,0.247,0.245,0.179,2.49861111111111,"Day 0
02:29"
"7",6,"20:54:41",0.183,0.106,0.36,0.321,0.173,0.092,2.99888888888889,"Day 0
02:59"
"8",7,"21:24:41",0.23,0.177,0.258,0.248,0.252,0.105,3.49888888888889,"Day 0
03:29"
"9",8,"21:54:43",0.19,0.135,0.23,0.228,0.187,0.104,3.99944444444444,"Day 0
03:59"
"10",9,"22:24:39",0.223,0.133,0.286,0.338,0.222,0.121,4.49833333333333,"Day 0
04:29"
"11",10,"22:54:41",0.248,0.103,0.262,0.222,0.381,0.148,4.99888888888889,"Day 0
04:59"
"12",11,"23:24:40",0.272,0.078,0.216,0.354,0.274,0.109,5.49861111111111,"Day 0
05:29"
"13",12,"23:54:40",0.208,0.112,0.242,0.296,0.201,0.075,5.99861111111111,"Day 0
05:59"
"14",13,"00:24:40",0.234,0.115,0.256,0.277,0.35,0.103,6.49861111111111,"Day 0
06:29"
"15",14,"00:54:40",0.251,0.122,0.329,0.231,0.171,0.08,6.99861111111111,"Day 0
06:59"
"16",15,"01:24:43",0.267,0.122,0.28,0.234,0.234,0.106,7.49944444444444,"Day 0
07:29"
"17",16,"01:54:41",0.265,0.112,0.374,0.328,0.221,0.081,7.99888888888889,"Day 0
07:59"
"18",17,"02:24:39",0.228,0.122,0.249,0.265,0.299,0.131,8.49833333333333,"Day 0
08:29"
"19",18,"02:54:41",0.208,0.117,0.258,0.338,0.213,0.093,8.99888888888889,"Day 0
08:59"
"20",19,"03:24:36",0.343,0.125,0.24,0.231,0.216,0.133,9.4975,"Day 0
09:29"
"21",20,"03:54:35",0.256,0.133,0.306,0.31,0.228,0.169,9.99722222222222,"Day 0
09:59"
"22",21,"04:24:38",0.253,0.139,0.311,0.373,0.179,0.098,10.4980555555556,"Day 0
10:29"
"23",22,"04:54:40",0.22,0.209,0.244,0.248,0.259,0.09,10.9986111111111,"Day 0
10:59"
"24",23,"05:24:38",0.208,0.114,0.289,0.279,0.243,0.091,11.4980555555556,"Day 0
11:29"
"25",24,"05:54:34",0.292,0.198,0.325,0.243,0.208,0.098,11.9969444444444,"Day 0
11:59"
"26",25,"06:24:39",0.228,0.199,0.307,0.266,0.229,0.168,12.4983333333333,"Day 0
12:29"
"27",26,"06:54:37",0.226,0.139,0.274,0.298,0.192,0.105,12.9977777777778,"Day 0
12:59"
"28",27,"07:24:39",0.27,0.096,0.407,0.301,0.24,0.088,13.4983333333333,"Day 0
13:29"
"29",28,"07:54:39",0.184,0.157,0.336,0.351,0.359,0.088,13.9983333333333,"Day 0
13:59"
"30",29,"08:24:35",0.202,0.205,0.278,0.26,0.307,0.11,14.4972222222222,"Day 0
14:29"
"31",30,"08:54:38",0.25,0.113,0.292,0.278,0.184,0.133,14.9980555555556,"Day 0
14:59"
"32",31,"09:24:35",0.192,0.163,0.347,0.247,0.209,0.115,15.4972222222222,"Day 0
15:29"
"33",32,"09:54:39",0.251,0.14,0.291,0.294,0.204,0.192,15.9983333333333,"Day 0
15:59"
"34",33,"10:24:32",0.288,0.161,0.335,0.285,0.256,0.113,16.4963888888889,"Day 0
16:29"
"35",34,"10:54:35",0.241,0.165,0.267,0.321,0.281,0.192,16.9972222222222,"Day 0
16:59"
"36",35,"11:24:35",0.249,0.166,0.314,0.275,0.385,0.147,17.4972222222222,"Day 0
17:29"
"37",36,"11:54:35",0.256,0.156,0.273,0.266,0.221,0.089,17.9972222222222,"Day 0
17:59"
"38",37,"12:24:36",0.195,0.165,0.269,0.284,0.208,0.127,18.4975,"Day 0
18:29"
"39",38,"12:54:32",0.208,0.202,0.317,0.26,0.22,0.183,18.9963888888889,"Day 0
18:59"
"40",39,"13:24:31",0.216,0.206,0.296,0.266,0.263,0.12,19.4961111111111,"Day 0
19:29"
"41",40,"13:54:36",0.253,0.129,0.295,0.251,0.374,0.093,19.9975,"Day 0
19:59"
"42",41,"14:24:32",0.242,0.081,0.264,0.275,0.342,0.426,20.4963888888889,"Day 0
20:29"
"43",42,"14:54:32",0.271,0.242,0.255,0.269,0.23,0.069,20.9963888888889,"Day 0
20:59"
"44",43,"15:24:33",0.237,0.127,0.31,0.251,0.224,0.085,21.4966666666667,"Day 0
21:29"
"45",44,"15:54:31",0.182,0.302,0.296,0.323,0.207,0.074,21.9961111111111,"Day 0
21:59"
"46",45,"16:24:29",0.265,0.16,0.314,0.31,0.244,0.066,22.4955555555556,"Day 0
22:29"
"47",46,"16:54:32",0.258,0.186,0.311,0.429,0.329,0.124,22.9963888888889,"Day 0
22:59"
"48",47,"17:24:30",0.172,0.098,0.299,0.308,0.221,0.221,23.4958333333333,"Day 0
23:29"
"49",48,"17:54:31",0.228,0.109,0.274,0.286,0.279,0.106,23.9961111111111,"Day 0
23:59"
"50",49,"18:24:27",0.187,0.135,0.333,0.284,0.197,0.078,24.495,"Day 1
00:29"
"51",50,"18:54:30",0.195,0.144,0.424,0.317,0.191,0.144,24.9958333333333,"Day 1
00:59"
