"","point","time","KS-08-1/10_1","KS-08-1/10_2","KS-08-1/100_1","KS-08-1/100_2","KS-03-1/10_1","KS-03-1/10_2","elapsed_h","time_lbl"
"1",0,"13:36:40",0.318,0.037,0.114,0.423,-0.158,-0.104,0,"Day 0
00:00"
"2",1,"14:06:32",0.184,-0.034,-0.313,-0.005,-0.78,-0.691,0.497777777777778,"Day 0
00:29"
"3",2,"14:36:33",0.58,0.365,-0.025,-0.665,-0.503,-0.598,0.998055555555556,"Day 0
00:59"
"4",3,"15:06:28",-0.008,0.364,-0.176,-0.329,-0.702,-0.715,1.49666666666667,"Day 0
01:29"
"5",4,"15:36:30",0.241,0.226,-0.713,-0.195,-0.285,-0.541,1.99722222222222,"Day 0
01:59"
"6",5,"16:06:35",0.127,0.22,0.031,0.041,-0.274,-0.087,2.49861111111111,"Day 0
02:29"
"7",6,"16:36:32",0.332,0.393,0.048,-0.001,-0.699,-0.702,2.99777777777778,"Day 0
02:59"
"8",7,"17:06:31",0.028,0.269,0.199,-0.32,-0.616,-0.584,3.4975,"Day 0
03:29"
"9",8,"17:36:26",-0.432,0.075,-0.002,-0.046,-0.037,-0.31,3.99611111111111,"Day 0
03:59"
"10",9,"18:06:28",0.27,0.161,0.24,-0.563,-0.045,-0.641,4.49666666666667,"Day 0
04:29"
"11",10,"18:36:26",-0.568,0.307,0.038,-0.124,-0.015,-0.465,4.99611111111111,"Day 0
04:59"
"12",11,"19:06:34",-0.057,0.076,0.185,-0.302,0.104,-0.461,5.49833333333333,"Day 0
05:29"
"13",12,"19:36:31",-0.089,0.129,0.076,0.313,-0.166,-0.937,5.9975,"Day 0
05:59"
"14",13,"20:06:28",-0.609,0.073,0.389,-0.163,0.083,-0.773,6.49666666666667,"Day 0
06:29"
"15",14,"20:36:29",0.136,-0.035,-0.023,-0.282,-0.28,-0.931,6.99694444444444,"Day 0
06:59"
"16",15,"21:06:25",-0.303,0.249,0.248,-0.216,-0.31,-0.516,7.49583333333333,"Day 0
07:29"
"17",16,"21:36:28",-0.12,-0.016,0.052,0.033,0.005,-0.423,7.99666666666667,"Day 0
07:59"
"18",17,"22:06:25",-0.264,-0.097,0.214,0.031,-0.059,-0.611,8.49583333333333,"Day 0
08:29"
"19",18,"22:36:30",-0.525,-0.069,0.202,-0.025,-0.362,-0.764,8.99722222222222,"Day 0
08:59"
"20",19,"23:06:30",-0.027,-0.044,0.3,-0.209,0.041,-0.607,9.49722222222222,"Day 0
09:29"
"21",20,"23:36:28",0.389,0.106,0.178,0.086,-0.161,-0.606,9.99666666666667,"Day 0
09:59"
"22",21,"00:06:25",0.03,-0.019,0.161,-0.432,-0.143,-0.659,10.4958333333333,"Day 0
10:29"
"23",22,"00:36:28",0.07,-0.086,0.075,-0.049,-0.153,-0.609,10.9966666666667,"Day 0
10:59"
"24",23,"01:06:23",0.047,-0.054,0.075,-0.35,-0.071,-0.127,11.4952777777778,"Day 0
11:29"
"25",24,"01:36:25",0.229,-0.054,0.198,-0.287,-0.002,-0.647,11.9958333333333,"Day 0
11:59"
"26",25,"02:06:29",-0.439,-0.04,0.197,0.127,0.019,-0.482,12.4969444444444,"Day 0
12:29"
"27",26,"02:36:28",0.113,-0.009,0.143,-0.184,0.028,-0.888,12.9966666666667,"Day 0
12:59"
"28",27,"03:06:26",0.467,0.032,0.127,-0.104,-0.284,-0.81,13.4961111111111,"Day 0
13:29"
"29",28,"03:36:23",0.227,-0.049,0.133,-0.06,-0.592,-0.605,13.9952777777778,"Day 0
13:59"
"30",29,"04:06:25",0.02,-0.064,0.143,-0.157,-0.126,-0.996,14.4958333333333,"Day 0
14:29"
"31",30,"04:36:26",0.438,-0.15,0.199,-0.153,0.067,-0.688,14.9961111111111,"Day 0
14:59"
"32",31,"05:06:22",0.369,-0.131,0.11,-0.185,-0.035,-0.837,15.495,"Day 0
15:29"
"33",32,"05:36:23",-0.461,-0.197,0.098,-0.448,0.056,-0.802,15.9952777777778,"Day 0
15:59"
"34",33,"06:06:28",-0.091,-0.115,0.096,-0.093,-0.132,-0.872,16.4966666666667,"Day 0
16:29"
