"Sample_Name","Original_Cq","Threshold_Used","Column_Matched","Log10_copies_original","Copies_per_mL_original","Log10_copies_corrected","Copies_per_mL_corrected","Fold_difference","Log2_fold_difference"
"KS3-KS8-2-3",15.4096076122759,179.042741187452,"KS3-KS8-2-3",5.62125407984853,418074.885841236,5.11334360820822,129820.598864829,0.310519964870908,-1.68724206542943
"NC-samp-1-1",27.9690521262521,179.042741187456,"NC-samp1-1",2.7051403537913,507.15458226015,2.38451402628217,242.389624716039,0.477940322723344,-1.06509760531312
"NC-samp-1-2",26.7311875781537,179.042741187454,"NC-samp1-2",2.99255384534281,983.000741301413,2.65346870763846,450.265536990077,0.458052082843765,-1.12641644549883
"NC-samp-1-3",27.0161143681111,179.042741187457,"NC-samp1-3",2.92639813899834,844.108238484423,2.59156177757847,390.446718873718,0.462555275582614,-1.11230231619052
"NC-samp-2-1",32.7598312798374,179.042741187453,"NC-samp2-1",1.59279363871703,39.1555779525309,1.34360653549066,22.0600521861863,0.563394881131116,-0.82778163909128
"NC-samp-2-2",32.5636661046201,179.042741187456,"NC-samp2-2",1.63834023589249,43.4850762456512,1.38622795337909,24.3348096440254,0.559612900447865,-0.837498874347456
"NC-samp-2-3",32.0764345792782,179.042741187452,"NC-samp2-3",1.75146805275065,56.4245433213343,1.49209026266517,31.052048989877,0.550328760536659,-0.861634368074758
"NC-1-1",35.2540850292822,179.042741187444,"NC-1-1",1.01366551032475,10.3196628851887,0.801672263736781,6.3339154785953,0.61377154942591,-0.704226321766967
"NC-1-2",35.6857100774978,179.042741187454,"NC-1-2",0.91344867938044,8.19310799425729,0.707891746727426,5.10377766146311,0.62293548004499,-0.682845349678915
"NC-1-3",33.830639245146,179.042741187453,"NC-1-3",1.34416816789044,22.0885988410494,1.11094875758938,12.9106693162505,0.584494716444275,-0.774738111352149
"NC-2-1",35.0834353772053,179.042741187447,"NC-2-1",1.05328778758507,11.305448281487,0.838749844533817,6.89842337263737,0.610185744154327,-0.712679620441306
"NC-2-2",36.8358722243552,179.04274118745,"NC-2-2",0.646398363587415,4.42994529903034,0.457992438930541,2.87073060215312,0.648028453710587,-0.625870934360902
"NC-2-3",35.7914689777882,179.042741187456,"NC-2-3",0.888893056681812,7.74271113091404,0.684913181445877,4.8407558775988,0.625201663312905,-0.677606478337874
